operation_id,selected_agent_id,descriptor_authenticated_from_real_pir,descriptor_schema,catalog_epoch,action_kind,private_route_handle,effect_semantics,provider_calls,result_round,delivery_ledger_state,lifecycle_stages,all_required_stages,framework_delivered,pass
functional-100-0000,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-read,READ_ONLY,1,2,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0001,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-idem,IDEMPOTENT_EFFECT,1,4,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0002,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-nonidem,NON_IDEMPOTENT_EFFECT,1,6,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0003,10,True,AgentDescriptorV7/7,20260829,REAL_EXTERNAL_HTTP,route-external-local,READ_ONLY,1,5,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0007,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-read,READ_ONLY,1,7,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0008,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-idem,IDEMPOTENT_EFFECT,1,8,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0009,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-nonidem,NON_IDEMPOTENT_EFFECT,1,9,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0010,10,True,AgentDescriptorV7/7,20260829,REAL_EXTERNAL_HTTP,route-external-local,READ_ONLY,1,10,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0014,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-read,READ_ONLY,1,11,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0015,10,True,AgentDescriptorV7/7,20260829,REAL_TOOL,route-tool-idem,IDEMPOTENT_EFFECT,1,12,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
