causal,dummy_heavy_ops,dynamic_pir,error,framework,group,iteration,logical_actions,passed,private_delay_ms,profile_id,profile_overflow,public_sessions,resolved_not_admitted,rounds,schedule_misses,semantic_equal,silent_committed_result_loss,workflow
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,0,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,1,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,2,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,3,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,4,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,5,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,6,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,7,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,8,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,9,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,10,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,11,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,12,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,13,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,14,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,15,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,16,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,17,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,18,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_0,19,10,True,0,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_5,0,10,True,5,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_5,1,10,True,5,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_5,2,10,True,5,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,OpenAI Agents SDK,DECISION_DELAY_5,3,10,True,5,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
